Year,Jan (Nat),Jan(Ind),Feb(Nat),Feb(Ind),Mar(Nat),Mar(Ind),Apr(Nat),Apr(Ind),May(Nat),May(Ind),Jun(Nat),Jun(Ind),Jul(Nat),Jul(Ind),Aug(Nat),Aug(Ind),Sep(Nat),Sep(Ind),Oct(Nat),Oct(Ind),Nov(Nat),Nov(Ind),Dec(Nat),Dec(Ind)
2010,9.8,10,9.8,10,9.9,10.4,9.9,9.4,9.6,9.8,9.4,8.8,9.4,10.6,9.5,9.7,9.5,10.8,9.4,9.8,9.8,8.8,9.3,8.1
2011,9.1,7.3,9,6.7,9,7.6,9.1,7.1,9,7.3,9.1,7.9,9,7.6,9,6.9,9,7.4,8.8,6.6,8.6,7.4,8.5,7.7
2012,8.3,7.9,8.3,8.4,8.2,8,8.2,8.3,8.2,7.8,8.2,7.1,8.2,6.7,8.1,7.3,7.8,7.3,7.8,7.7,7.7,6.8,7.9,8
2013,8,8.2,7.7,5.2,7.5,5.2,7.6,5.4,7.5,6.4,7.5,5.6,7.3,5.8,7.2,6.6,7.2,6.6,7.2,7.9,6.9,6.4,6.7,4.8
2014,6.6,6.6,6.7,4.8,6.7,5.1,6.2,5.7,6.3,5.5,6.1,5.2,6.2,4.5,6.1,4.5,5.9,4.4,5.7,4.7,5.8,5.6,5.6,5.7
2015,5.7,4.4,5.5,4.5,5.4,3,5.4,3.2,5.6,3.3,5.3,3.9,5.2,4.1,5.1,5.2,5,4.7,5,3,5.1,4.3,5,2.9
2016,4.9,4.6,4.9,3.7,5,4.4,5,4.8,4.8,5.2,4.9,4.7,4.8,5.7,4.9,5,5,5.2,4.9,4.1,4.7,4.2,4.7,3.1
2017,4.7,4.9,4.6,3.9,4.4,4,4.4,4.1,4.4,4.7,4.3,4.8,4.3,4.3,4.4,5.1,4.2,5.1,4.1,3.9,4.2,5.2,4.1,3.8
2018,4.1,5.3,4.1,3.2,4,4.1,4,2.3,3.8,3.5,4,4.6,3.8,4.2,3.8,3.5,3.7,2.3,3.8,3.2,3.7,3.8,3.9,3.9
2019,4,4.7,3.8,4.1,3.8,4,3.6,3.5,3.6,3,3.7,2.7,3.7,3.9,3.7,4.7,3.5,4.4,3.6,3.3,3.5,1.6,3.5,1.9
2020,3.6,2.3,3.5,2.6,4.4,1.8,14.7,11,13.3,10.9,11.1,12,10.2,12.3,8.4,8.6,7.9,8.6,6.9,5.8,,,,
